,student_id,gender,age,education_level,institution_type,it_student,student_location,load_shedding,financial_condition,internet_type,class_duration,self_lms,device,adaptability_level
44,45,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,Yes,Computer,Low
45,46,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,No,Computer,Moderate
46,47,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
47,48,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
48,49,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
49,50,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,Yes,Computer,Low
50,51,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
51,52,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
52,53,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
53,54,Boy,26-30,University,Government,Yes,No,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
54,55,Boy,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
55,56,Girl,1-5,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
56,57,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,0,No,Mobile,Low
57,58,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
58,59,Girl,11-15,School,Non Government,No,No,High,Mid,Mobile Data,0,No,Mobile,Low
59,60,Boy,16-20,School,Government,No,No,Low,Poor,Mobile Data,0,No,Mobile,Low
60,61,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Mobile,Moderate
61,62,Boy,21-25,College,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
62,63,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
63,64,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
64,65,Boy,11-15,School,Non Government,No,Yes,High,Poor,Wifi,1-3,No,Mobile,Low
65,66,Boy,26-30,University,Government,No,No,Low,Mid,Mobile Data,1-3,No,Mobile,High
66,67,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
67,68,Girl,6-10,School,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
68,69,Girl,11-15,School,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
69,70,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
70,71,Boy,21-25,College,Government,No,No,High,Poor,Mobile Data,1-3,Yes,Mobile,Low
71,72,Girl,16-20,College,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
72,73,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,0,No,Mobile,Low
73,74,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
74,75,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
75,76,Girl,6-10,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
76,77,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
77,78,Girl,21-25,College,Government,No,No,High,Mid,Mobile Data,0,No,Mobile,Low
78,79,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3-6,No,Mobile,Moderate
79,80,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
80,81,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
81,82,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3-6,No,Mobile,Moderate
82,83,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,No,Computer,Moderate
83,84,Girl,11-15,School,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
84,85,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
85,86,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
86,87,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,High
87,88,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Moderate
88,89,Boy,11-15,School,Non Government,No,Yes,High,Mid,Wifi,1-3,No,Mobile,Moderate
89,90,Boy,26-30,University,Government,No,No,Low,Poor,Mobile Data,0,No,Mobile,Low
90,91,Boy,21-25,University,Non Government,No,No,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
91,92,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,Yes,Computer,Moderate
92,93,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,Yes,Computer,Moderate
93,94,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Mobile Data,1-3,Yes,Mobile,Low
94,95,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
95,96,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,No,Computer,Moderate
96,97,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
97,98,Girl,11-15,School,Government,No,No,High,Poor,Mobile Data,1-3,No,Mobile,Low
98,99,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Moderate
99,100,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
100,101,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,0,No,Mobile,Low
101,102,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Computer,Moderate
102,103,Girl,16-20,College,Non Government,No,No,High,Mid,Mobile Data,0,No,Mobile,Low
103,104,Boy,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
104,105,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Wifi,1-3,No,Mobile,Moderate
105,106,Boy,11-15,School,Government,No,Yes,Low,Mid,Wifi,1-3,No,Computer,Moderate
106,107,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
107,108,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Computer,Moderate
108,109,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Tab,Moderate
109,110,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,High
110,111,Boy,6-10,School,Government,No,Yes,Low,Mid,Mobile Data,0,No,Mobile,Low
111,112,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
112,113,Boy,11-15,School,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
113,114,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Mobile Data,1-3,Yes,Mobile,Moderate
114,115,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Mobile,Moderate
115,116,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,Yes,Computer,Moderate
116,117,Boy,26-30,University,Government,Yes,Yes,Low,Mid,Wifi,0,No,Computer,Low
117,118,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,3-6,Yes,Computer,Low
118,119,Boy,16-20,College,Government,No,No,High,Poor,Mobile Data,1-3,No,Mobile,Moderate
119,120,Girl,21-25,University,Non Government,Yes,No,Low,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
120,121,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,3-6,No,Computer,Moderate
121,122,Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
122,123,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
123,124,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
124,125,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Computer,Moderate
125,126,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
126,127,Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
127,128,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,3-6,No,Mobile,Moderate
128,129,Girl,11-15,School,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
129,130,Boy,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,1-3,Yes,Computer,High
130,131,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,Yes,Mobile,Moderate
131,132,Boy,21-25,University,Government,Yes,No,High,Mid,Mobile Data,1-3,No,Mobile,Low
132,133,Boy,21-25,University,Non Government,Yes,No,High,Mid,Mobile Data,3-6,Yes,Mobile,High
133,134,Boy,16-20,College,Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
134,135,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
135,136,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Wifi,3-6,No,Computer,Low
136,137,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,0,No,Mobile,Low
137,138,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
138,139,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
139,140,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
140,141,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
141,142,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
142,143,Girl,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
143,144,Girl,16-20,College,Non Government,No,No,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
144,145,Boy,21-25,University,Government,No,No,Low,Poor,Mobile Data,1-3,No,Mobile,Low
145,146,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Computer,Moderate
146,147,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,3-6,No,Computer,Moderate
147,148,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Wifi,0,No,Mobile,Low
148,149,Girl,21-25,University,Non Government,No,Yes,High,Poor,Wifi,3-6,No,Mobile,Low
149,150,Girl,21-25,University,Government,No,No,Low,Mid,Mobile Data,1-3,No,Mobile,Low
150,151,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
151,152,Boy,16-20,College,Government,No,No,Low,Mid,Wifi,1-3,No,Mobile,Low
152,153,Boy,11-15,School,Non Government,No,Yes,Low,Rich,Mobile Data,1-3,No,Mobile,High
153,154,Boy,6-10,School,Non Government,No,Yes,Low,Rich,Wifi,1-3,No,Mobile,Moderate
154,155,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,No,Computer,Low
155,156,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Computer,Low
156,157,Boy,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
157,158,Boy,26-30,University,Government,Yes,Yes,Low,Rich,Wifi,1-3,No,Computer,High
158,159,Girl,1-5,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
159,160,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,1-3,Yes,Computer,Moderate
160,161,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Low
161,162,Boy,21-25,University,Non Government,Yes,No,High,Mid,Mobile Data,3-6,Yes,Mobile,High
162,163,Boy,16-20,University,Government,No,No,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
163,164,Boy,6-10,School,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
164,165,Girl,16-20,College,Government,No,No,High,Poor,Mobile Data,0,No,Mobile,Low
165,166,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
166,167,Boy,21-25,College,Government,No,No,High,Poor,Mobile Data,1-3,Yes,Mobile,Low
167,168,Boy,26-30,University,Government,No,No,Low,Mid,Mobile Data,1-3,No,Mobile,High
168,169,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
169,170,Boy,16-20,College,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,Yes,Mobile,Low
170,171,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Computer,Moderate
171,172,Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
172,173,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,1-3,No,Mobile,Low
173,174,Boy,21-25,University,Non Government,Yes,Yes,Low,Rich,Wifi,1-3,Yes,Computer,High
174,175,Boy,11-15,School,Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
175,176,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,No,Computer,Low
176,177,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Wifi,1-3,No,Mobile,Moderate
177,178,Boy,16-20,College,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,Yes,Mobile,Low
178,179,Girl,16-20,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
179,180,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,0,No,Mobile,Low
180,181,Boy,11-15,School,Government,No,Yes,Low,Mid,Wifi,1-3,No,Computer,Moderate
181,182,Boy,1-5,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
182,183,Girl,1-5,School,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Moderate
183,184,Girl,21-25,University,Non Government,No,Yes,Low,Rich,Wifi,3-6,No,Computer,Moderate
184,185,Girl,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
185,186,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
186,187,Girl,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
187,188,Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
188,189,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
189,190,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Tab,Moderate
190,191,Boy,11-15,School,Non Government,No,Yes,High,Poor,Wifi,1-3,No,Mobile,Low
191,192,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
192,193,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
193,194,Boy,16-20,School,Government,No,No,Low,Poor,Mobile Data,0,No,Mobile,Low
194,195,Girl,16-20,College,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
195,196,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Low
196,197,Boy,16-20,College,Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
197,198,Boy,11-15,School,Non Government,Yes,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
198,199,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
199,200,Girl,11-15,School,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
200,201,Boy,6-10,School,Government,No,Yes,Low,Mid,Mobile Data,0,No,Mobile,Low
201,202,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
202,203,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
203,204,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Moderate
204,205,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
205,206,Boy,11-15,School,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,High
206,207,Boy,26-30,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,No,Computer,Moderate
207,208,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
208,209,Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
209,210,Girl,21-25,University,Non Government,Yes,Yes,High,Mid,Wifi,3-6,Yes,Mobile,Low
210,211,Girl,11-15,School,Government,No,No,High,Poor,Mobile Data,1-3,No,Mobile,Low
211,212,Girl,16-20,School,Government,No,No,Low,Rich,Mobile Data,1-3,No,Mobile,High
212,213,Girl,16-20,College,Government,No,No,High,Mid,Mobile Data,1-3,No,Mobile,Low
213,214,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,3-6,No,Computer,Moderate
214,215,Girl,21-25,College,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
215,216,Boy,16-20,School,Government,No,Yes,Low,Rich,Mobile Data,1-3,No,Mobile,Moderate
216,217,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
217,218,Girl,16-20,School,Non Government,No,Yes,Low,Poor,Mobile Data,0,No,Mobile,Low
218,219,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Wifi,3-6,No,Mobile,Low
219,220,Boy,11-15,School,Government,No,No,Low,Mid,Mobile Data,0,No,Mobile,Low
220,221,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,Yes,Computer,Moderate
221,222,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,3-6,No,Mobile,Moderate
222,223,Girl,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
223,224,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
224,225,Girl,21-25,University,Non Government,No,No,Low,Mid,Wifi,0,No,Mobile,Low
225,226,Girl,11-15,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
226,227,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
227,228,Boy,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
228,229,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
229,230,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Moderate
230,231,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Wifi,1-3,No,Mobile,Moderate
231,232,Girl,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,Yes,Mobile,Moderate
232,233,Girl,16-20,School,Non Government,No,Yes,Low,Mid,Wifi,0,No,Mobile,Low
233,234,Boy,11-15,School,Government,No,Yes,Low,Mid,Wifi,1-3,No,Mobile,High
234,235,Boy,21-25,University,Non Government,Yes,No,Low,Mid,Wifi,3-6,Yes,Computer,Moderate
235,236,Boy,21-25,University,Non Government,Yes,No,High,Poor,Mobile Data,3-6,Yes,Mobile,Moderate
236,237,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Computer,Moderate
237,238,Girl,26-30,University,Government,No,Yes,Low,Mid,Mobile Data,0,No,Mobile,Low
238,239,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Mobile,Moderate
239,240,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,1-3,No,Mobile,Low
240,241,Girl,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Low
241,242,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
242,243,Girl,11-15,School,Government,No,Yes,Low,Rich,Wifi,1-3,No,Mobile,Moderate
243,244,Girl,16-20,College,Non Government,No,No,High,Mid,Wifi,3-6,No,Mobile,Moderate
244,245,Girl,11-15,School,Non Government,No,No,High,Mid,Mobile Data,0,No,Mobile,Low
245,246,Girl,1-5,School,Non Government,No,Yes,Low,Poor,Wifi,1-3,No,Mobile,Moderate
246,247,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,3-6,Yes,Computer,Moderate
247,248,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
248,249,Boy,21-25,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3-6,Yes,Mobile,Moderate
249,250,Boy,21-25,University,Government,Yes,Yes,Low,Mid,Mobile Data,1-3,Yes,Mobile,Moderate
250,251,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Wifi,3-6,No,Computer,Moderate
251,252,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,1-3,No,Mobile,Low
252,253,Boy,16-20,College,Government,No,No,Low,Mid,Wifi,1-3,No,Mobile,Low
253,254,Boy,21-25,University,Government,No,No,Low,Poor,Mobile Data,1-3,No,Mobile,Low
254,255,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Wifi,1-3,No,Mobile,Moderate
255,256,Boy,11-15,School,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
256,257,Boy,16-20,College,Government,No,Yes,High,Mid,Wifi,1-3,No,Mobile,Moderate
257,258,Girl,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,1-3,No,Mobile,Moderate
258,259,Boy,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
259,260,Boy,26-30,University,Government,Yes,Yes,Low,Rich,Wifi,1-3,No,Mobile,High
260,261,Girl,11-15,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
261,262,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,3-6,Yes,Mobile,Low
262,263,Girl,16-20,College,Non Government,No,Yes,High,Mid,Wifi,3-6,No,Mobile,Moderate
263,264,Boy,1-5,School,Non Government,No,Yes,Low,Poor,Mobile Data,1-3,No,Mobile,Low
